k,n_clusters,cophenetic_correlation,silhouette_score
5,5,0.47623026789008793,-0.034287749096712006
10,10,0.47623026789008793,-0.06601331182235601
15,15,0.47623026789008793,-0.09393559262964439
20,20,0.47623026789008793,-0.16378622639665433
50,50,0.47623026789008793,-0.3480626129385902
70,70,0.47623026789008793,-0.3123572839776921
90,90,0.47623026789008793,-0.27168285310271023
110,110,0.47623026789008793,-0.16330920935280657
130,130,0.47623026789008793,-0.009825515807255094
