search_stage,evaluation_split,n_clusters,aggregation,model,model_display,estimator_class,n_features,threshold,accuracy,roc_auc,f1,precision,recall,best_epoch
coarse,val,20,max,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,20,0.5,0.6286057692307693,0.6608815761337563,0.6254545454545455,0.6386138613861386,0.6128266033254157,10
coarse,val,20,min,mlp,Neural Network,TorchRegularizedHybridNetClassifier,20,0.5,0.6814903846153846,0.7574596459593945,0.6699875466998755,0.7041884816753927,0.6389548693586699,12
coarse,val,20,min,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,20,0.5,0.6670673076923077,0.7555698111899024,0.6311584553928096,0.7181818181818181,0.5629453681710214,7
coarse,val,20,min,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,20,0.5,0.6875,0.7666892059804312,0.6683673469387755,0.721763085399449,0.6223277909738717,8
coarse,val,20,std,mlp,Neural Network,TorchRegularizedHybridNetClassifier,20,0.5,0.5949519230769231,0.6487450225682103,0.5824039653035935,0.6088082901554405,0.5581947743467933,15
coarse,val,20,std,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,20,0.5,0.6057692307692307,0.6420468008622733,0.5591397849462365,0.6439628482972136,0.4940617577197149,13
coarse,val,20,std,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,20,0.5,0.5793269230769231,0.620911859724558,0.5625,0.5936675461741425,0.5344418052256532,10
coarse,val,20,median,mlp,Neural Network,TorchRegularizedHybridNetClassifier,20,0.5,0.6670673076923077,0.7555698111899024,0.6918798665183538,0.6506276150627615,0.7387173396674585,18
coarse,val,20,median,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,20,0.5,0.6598557692307693,0.7538995902468344,0.6720741599073001,0.6561085972850679,0.6888361045130641,8
coarse,val,20,median,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,20,0.5,0.6682692307692307,0.7525587900434025,0.6752941176470588,0.668997668997669,0.6817102137767221,20
coarse,val,20,sum,mlp,Neural Network,TorchRegularizedHybridNetClassifier,20,0.5,0.6995192307692307,0.7749073865376724,0.6995192307692307,0.708029197080292,0.6912114014251781,14
coarse,val,20,sum,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,20,0.5,0.7043269230769231,0.7979379417561016,0.7185354691075515,0.6931567328918322,0.7458432304038005,14
coarse,val,20,sum,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,20,0.5,0.6887019230769231,0.7759707798024631,0.6991869918699187,0.6840909090909091,0.7149643705463183,14
coarse,val,50,mean,mlp,Neural Network,TorchRegularizedHybridNetClassifier,50,0.5,0.6682692307692307,0.7403124295646445,0.6698564593301436,0.6746987951807228,0.665083135391924,16
coarse,val,50,mean,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,50,0.5,0.6826923076923077,0.7552519490727094,0.7006802721088435,0.6702819956616052,0.7339667458432304,12
coarse,val,50,mean,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,50,0.5,0.6538461538461539,0.7342094769145413,0.6579572446555819,0.6579572446555819,0.6579572446555819,12
coarse,val,50,pca,mlp,Neural Network,TorchRegularizedHybridNetClassifier,50,0.5,0.6814903846153846,0.7450167888990988,0.6795646916565901,0.6921182266009852,0.667458432304038,30
coarse,val,50,pca,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,50,0.5,0.6802884615384616,0.7532696453236704,0.7024608501118568,0.6638477801268499,0.7458432304038005,23
