task_name,n_recordings
harvard-sentences-list-52-2,3
harvard-sentences-list-52-10,3
harvard-sentences-list-52-1,3
harvard-sentences-list-22-3,3
harvard-sentences-list-17-1,3
harvard-sentences-list-17-9,3
harvard-sentences-list-17-7,3
harvard-sentences-list-33-9,3
harvard-sentences-list-17-6,3
harvard-sentences-list-33-8,3
harvard-sentences-list-33-7,3
harvard-sentences-list-33-6,3
harvard-sentences-list-33-5,3
harvard-sentences-list-33-4,3
harvard-sentences-list-33-3,3
harvard-sentences-list-33-2,3
harvard-sentences-list-33-10,3
harvard-sentences-list-33-1,3
harvard-sentences-list-26-9,3
harvard-sentences-list-26-8,3
harvard-sentences-list-26-7,3
harvard-sentences-list-26-6,3
harvard-sentences-list-26-5,3
harvard-sentences-list-26-4,3
harvard-sentences-list-26-3,3
harvard-sentences-list-26-2,3
harvard-sentences-list-26-10,3
harvard-sentences-list-26-1,3
harvard-sentences-list-22-9,3
harvard-sentences-list-22-8,3
harvard-sentences-list-22-7,3
harvard-sentences-list-22-6,3
harvard-sentences-list-17-2,3
harvard-sentences-list-17-3,3
harvard-sentences-list-17-4,3
harvard-sentences-list-17-5,3
harvard-sentences-list-17-10,3
harvard-sentences-list-28-1,3
harvard-sentences-list-28-10,3
harvard-sentences-list-57-10,3
harvard-sentences-list-40-5,3
harvard-sentences-list-40-6,3
harvard-sentences-list-40-7,3
harvard-sentences-list-40-8,3
harvard-sentences-list-40-9,3
harvard-sentences-list-65-6,3
harvard-sentences-list-65-5,3
harvard-sentences-list-65-4,3
harvard-sentences-list-57-9,3
harvard-sentences-list-57-8,3
harvard-sentences-list-28-2,3
harvard-sentences-list-57-6,3
harvard-sentences-list-57-5,3
harvard-sentences-list-57-4,3
harvard-sentences-list-57-3,3
harvard-sentences-list-40-4,3
harvard-sentences-list-40-3,3
harvard-sentences-list-40-2,3
harvard-sentences-list-30-3,3
harvard-sentences-list-65-9,3
harvard-sentences-list-65-8,3
harvard-sentences-list-65-7,3
harvard-sentences-list-30-1,3
harvard-sentences-list-30-10,3
harvard-sentences-list-30-2,3
harvard-sentences-list-30-4,3
harvard-sentences-list-40-10,3
harvard-sentences-list-30-5,3
