model,model_display,estimator_class,patient_aggregation,evaluation_split,selection_metric,n_features,threshold,cluster_k,cluster_aggregation,n_train_patients,n_val_patients,n_test_patients,accuracy,roc_auc,f1,precision,recall,best_epoch
logistic_regression,Logistic Regression,LogisticRegression,min,val,roc_auc,17,0.5,17,mean,136,34,43,0.5588235294117647,0.6245059288537549,0.4827586206896552,0.3888888888888889,0.6363636363636364,
elastic_net_logistic,Elastic-Net Logistic,SGDClassifier,min,val,roc_auc,17,0.5,17,mean,136,34,43,0.5294117647058824,0.5612648221343873,0.5,0.38095238095238093,0.7272727272727273,
random_forest,Random Forest,RandomForestClassifier,min,val,roc_auc,17,0.5,17,mean,136,34,43,0.6764705882352942,0.7154150197628459,0.47619047619047616,0.5,0.45454545454545453,
extra_trees,Extra Trees,ExtraTreesClassifier,min,val,roc_auc,17,0.5,17,mean,136,34,43,0.6764705882352942,0.5810276679841897,0.42105263157894735,0.5,0.36363636363636365,
hist_gradient_boosting,Hist Gradient Boosting,HistGradientBoostingClassifier,min,val,roc_auc,17,0.5,17,mean,136,34,43,0.7352941176470589,0.7233201581027667,0.4,0.75,0.2727272727272727,
svc_rbf,RBF SVM,SVC,min,val,roc_auc,17,0.5,17,mean,136,34,43,0.7058823529411765,0.5652173913043479,0.16666666666666666,1.0,0.09090909090909091,
mlp,Neural Network,TorchRegularizedHybridNetClassifier,min,val,roc_auc,17,0.5,17,mean,136,34,43,0.6176470588235294,0.7075098814229249,0.5806451612903226,0.45,0.8181818181818182,14.0
residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,min,val,roc_auc,17,0.5,17,mean,136,34,43,0.7352941176470589,0.6047430830039525,0.47058823529411764,0.6666666666666666,0.36363636363636365,21.0
wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,min,val,roc_auc,17,0.5,17,mean,136,34,43,0.6176470588235294,0.5454545454545454,0.38095238095238093,0.4,0.36363636363636365,1.0
logistic_regression,Logistic Regression,LogisticRegression,std,val,roc_auc,17,0.5,17,mean,136,34,43,0.8235294117647058,0.826086956521739,0.7272727272727273,0.7272727272727273,0.7272727272727273,
elastic_net_logistic,Elastic-Net Logistic,SGDClassifier,std,val,roc_auc,17,0.5,17,mean,136,34,43,0.7647058823529411,0.857707509881423,0.6363636363636364,0.6363636363636364,0.6363636363636364,
random_forest,Random Forest,RandomForestClassifier,std,val,roc_auc,17,0.5,17,mean,136,34,43,0.8529411764705882,0.7905138339920948,0.7368421052631579,0.875,0.6363636363636364,
extra_trees,Extra Trees,ExtraTreesClassifier,std,val,roc_auc,17,0.5,17,mean,136,34,43,0.8529411764705882,0.7984189723320159,0.7619047619047619,0.8,0.7272727272727273,
hist_gradient_boosting,Hist Gradient Boosting,HistGradientBoostingClassifier,std,val,roc_auc,17,0.5,17,mean,136,34,43,0.7941176470588235,0.8260869565217392,0.631578947368421,0.75,0.5454545454545454,
svc_rbf,RBF SVM,SVC,std,val,roc_auc,17,0.5,17,mean,136,34,43,0.7941176470588235,0.8102766798418972,0.5882352941176471,0.8333333333333334,0.45454545454545453,
mlp,Neural Network,TorchRegularizedHybridNetClassifier,std,val,roc_auc,17,0.5,17,mean,136,34,43,0.8235294117647058,0.8537549407114624,0.7272727272727273,0.7272727272727273,0.7272727272727273,19.0
residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,std,val,roc_auc,17,0.5,17,mean,136,34,43,0.8529411764705882,0.8181818181818181,0.7368421052631579,0.875,0.6363636363636364,15.0
wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,std,val,roc_auc,17,0.5,17,mean,136,34,43,0.7647058823529411,0.8379446640316205,0.6666666666666666,0.6153846153846154,0.7272727272727273,35.0
