model_display,recording_roc_auc,patient_roc_auc,recording_accuracy,patient_accuracy,recording_f1,patient_f1
Elastic-Net Logistic,0.4983867624937322,0.9482758620689656,0.5132183908045977,0.8372093023255814,0.4218430034129692,0.7878787878787878
Logistic Regression,0.5141474176834364,0.9458128078817734,0.521264367816092,0.9302325581395348,0.4580351333767078,0.8888888888888888
Hist Gradient Boosting,0.682555239846231,0.8793103448275863,0.6310344827586207,0.7906976744186046,0.5590659340659341,0.64
Random Forest,0.6710399465151262,0.8694581280788178,0.6166666666666667,0.8372093023255814,0.5579854208084825,0.72
Extra Trees,0.6315480528163129,0.748768472906404,0.5833333333333334,0.6511627906976745,0.5117845117845118,0.5161290322580645
RBF SVM,0.6644359017215444,0.7192118226600985,0.6160919540229886,0.6976744186046512,0.5405777166437414,0.5185185185185185
Residual Neural Network,0.6845609226140732,0.6059113300492611,0.6327586206896552,0.6511627906976745,0.5714285714285714,0.2105263157894736
Neural Network,0.6643409660705332,0.5862068965517242,0.6126436781609196,0.6046511627906976,0.5299860529986054,0.1052631578947368
Wide+Deep Neural Network,0.6762186194216948,0.3793103448275862,0.6281609195402299,0.5116279069767442,0.5388453314326443,0.3636363636363636
