model,model_display,estimator_class,threshold,val_f1_at_threshold,accuracy,roc_auc,f1,precision,recall,feature_space,n_features,n_train_records,n_val_records,n_test_records,n_train_participants,n_val_participants,n_test_participants,best_epoch
logistic_regression,Logistic Regression,LogisticRegression,0.7999999999999999,0.7320261437908496,0.8973747016706444,0.9227982711621978,0.6734177215189874,0.6157407407407407,0.7430167597765364,raw,131,3705,1004,1257,99,25,32,
elastic_net_logistic,Elastic-Net Logistic,SGDClassifier,0.65,0.6842105263157895,0.8591885441527446,0.8990422984836394,0.6209850107066381,0.5034722222222222,0.8100558659217877,raw,131,3705,1004,1257,99,25,32,
random_forest,Random Forest,RandomForestClassifier,0.49999999999999994,0.75625,0.9164677804295943,0.9223214933510225,0.7169811320754716,0.6927083333333334,0.7430167597765364,raw,131,3705,1004,1257,99,25,32,
extra_trees,Extra Trees,ExtraTreesClassifier,0.49999999999999994,0.7116564417177914,0.8973747016706444,0.9093085685264456,0.6614173228346457,0.6237623762376238,0.7039106145251397,raw,131,3705,1004,1257,99,25,32,
hist_gradient_boosting,Hist Gradient Boosting,HistGradientBoostingClassifier,0.15,0.7820895522388059,0.9299920445505171,0.9511613685596128,0.7684210526315789,0.7263681592039801,0.8156424581005587,raw,131,3705,1004,1257,99,25,32,
svc_rbf,RBF SVM,SVC,0.25,0.791907514450867,0.9077167859984089,0.9465697909432945,0.7128712871287128,0.64,0.8044692737430168,raw,131,3705,1004,1257,99,25,32,
mlp,Neural Network,TorchRegularizedHybridNetClassifier,0.49999999999999994,0.7828746177370031,0.9140811455847255,0.9434033643929893,0.7272727272727273,0.663594470046083,0.8044692737430168,raw,131,3705,1004,1257,99,25,32,8.0
residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,0.2,0.788235294117647,0.898170246618934,0.93511157637255,0.6923076923076923,0.6075949367088608,0.8044692737430168,raw,131,3705,1004,1257,99,25,32,14.0
wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,0.39999999999999997,0.7675675675675676,0.8806682577565632,0.9408743690467554,0.668141592920354,0.5531135531135531,0.8435754189944135,raw,131,3705,1004,1257,99,25,32,7.0
